trip,date,plot,plantID,code,genus,epithet,page,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,canopy,sf,obs,count.,check.ID.,dbh0
4,5/9/16,400X160,160968,POURES,Pouteria,resinosa,2,1.5,simple,alternate,spiral,cont,vertical,1577,10,1080,-10,925,39,89,105,84,63,99,97,5,5,568,263,1035,2053,29,11,110,363,134,branch,157,86,18.025,20.126,21.105,22.213,21.191,14.628,16.657,11.533,18.313,12.066,,N ,,,,10
4,5/9/16,400X160,160961,MINGUI,Minquartia,guianensis,2,1.5,simple,alternate,distic,cont,horizontal,1616,10,1279,-10,1207,47,163,175,105,32,107,80,5,5,579,258,1035,1830,34,10,110,529,254,branch,277,149,18.528,23.062,27.841,25.207,24.833,20.328,14.383,19.579,18.759,17.089,,N ,luz:first 3 meas. Dropped,,checked,13
4,5/9/16,400X160,160944,ESCGRA,Eschweilera,grandiflora,2,2,simple,alternate,distic,cont,down-arched,1837,10,1274,-10,1268,24,157,157,108,39,112,112,4,4,1241,593,1035,1811,65,25,105,542,216,branch,262,121,38.838,41.588,41.055,44.394,43.862,19.838,17.262,16.557,14.858,15.65,,N ,,,YES,11
4,5/9/16,400X160,160873,ESCTRU,Eschweilera,truncata,2,2.5,simple,alternate,distic,cont,both,1929,10,1561,-10,1302,60,210,238,71,-11,187,99,5,5,455,228,1035,1927,17,6,104,408,151,branch,176,85,56.687,59.004,66.892,70.576,66.532,20.328,26.733,38.882,33.268,40.335,,N ,altura 1 bif eh na verdade 0.11,,,11
4,5/9/16,400X160,160795,RINGUI,Rinorea,guianensis,2,1.5,simple,alternate,distic,NA,horizontal,3442,10,2584,-10,2419,57,140,218,143,64,373,213,5,5,478,167,1035,1831,16,5,100,696,505,branch,602,340,29.065,33.109,38.047,37.816,33.714,19.003,16.211,14.124,12.901,16.628,,N ,,,YES,18
4,5/9/16,380X160,150982,SCLMIC,Scleronema,micranthum,2,1,simple,alternate,spiral,cont,up-arched,3391,10,2377,-10,2261,71,152,186,135,76,202,96,5,5,851,338,1035,1814,124,43,103,707,435,branch,490,219,17.017,17.247,17.766,17.564,18.241,14.282,13.937,13.217,10.641,11.605,,N ,,,,23
4,5/9/16,380X160,150994,POU,Pouteria,,2,1,simple,alternate,distic,cont,horizontal,3541,40,3532,-10,3411,60,418,438,377,247,236,250,5,5,596,297,1035,1822,48,17,108,769,493,branch,581,309,24.3,23.278,23.912,25.509,26.488,12.267,13.102,15.822,16.456,15.837,,N ,altura 1 bif eh na verdade 2.68; latex branco,,,29
4,5/9/16,380X260,152063,LECPRA,Lecythis,,3,1,simple,alternate,distic,cont,horizontal,2401,10,2086,-10,1997,60,253,303,253,231,122,102,5,5,1616,645,1035,1730,91,30,112,599,417,branch,472,247,11.699,10.562,10.519,10.533,9.9717,7.9853,6.5892,7.021,8.4171,8.8202,,N ,altura 1 bif eh na verdade 2.07; provavelmente eh L. barnebyi; luz:b-file; luz: last meas. Dropped,,yes,20
4,5/9/16,380X260,152209,HEVGUI,Hevea,guianensis,3,1,trifoliate,alternate,spiral,rhitmic,both,4117,10,3150,-10,2880,60,546,608,496,382,203,176,1,1,1191,490,1035,1643,458,160,102,1130,1166,branch,1169,645,13.409,13.466,13.394,13.581,13.337,12.056,10.803,11.091,11.739,11.394,,N ,altura 1 bif eh na verdade 2.27,,,25
4,5/9/16,380X260,152199,CASJAV,Casearia,javitensis,3,2,simple,alternate,distic,cont,horizontal,3210,30,2845,-10,2809,60,360,391,355,303,225,208,5,5,570,306,1035,1916,27,11,110,602,293,branch,355,190,15.654,15.409,15.309,15.683,15.611,8.4861,7.9535,5.7081,5.9096,5.3483,,N ,altura 1 bif eh na verdade 3.08; com inflorescencias axilares,,,28
