"sp","hge","aSize"
"Theobroma sylvestre",28.2826272109975,13
"Theobroma sylvestre",13.4255973512341,13
"Theobroma sylvestre",15.1443114620214,13
"Unonopsis duckei",5.37184249790878,17
"Unonopsis duckei",9.41718129929239,17
"Unonopsis duckei",3.71429324678432,17
"Unonopsis duckei",6.03084468201033,17
"Unonopsis duckei",13.6458781440106,17
"Unonopsis duckei",13.6907292214733,17
"Vismia sandwithii",8.52271055679943,6.45
"Zollernia paraensis",12.9823342596551,19.735
"Zygia juruana",15.0120361899709,11
"Zygia juruana",16.7316784430113,11
"Zygia juruana",5.7934825543993,11
"Zygia juruana",10.3270655022854,11
"Zygia juruana",18.8339367685122,11
"Zygia juruana",20.4277294724795,11
"Zygia racemosa",9.45496215066391,23
